selling_price,km_driven,fuel,seller_type,transmission,owner,seats,torque_rpm,Mileage,Engine,Max_Power
450000,145500,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0
370000,120000,Diesel,Individual,Manual,Second Owner,5.0,2500,21.14,1498.0,103.52
158000,140000,Petrol,Individual,Manual,Third Owner,5.0,2700,17.7,1497.0,78.0
225000,127000,Diesel,Individual,Manual,First Owner,5.0,2750,23.0,1396.0,90.0
130000,120000,Petrol,Individual,Manual,First Owner,5.0,4500,16.1,1298.0,88.2
440000,45000,Petrol,Individual,Manual,First Owner,5.0,11375,20.14,1197.0,81.86
96000,175000,LPG,Individual,Manual,First Owner,5.0,4500,17.3,1061.0,57.5
45000,5000,Petrol,Individual,Manual,Second Owner,4.0,2500,16.1,796.0,37.0
350000,90000,Diesel,Individual,Manual,First Owner,5.0,2400,23.59,1364.0,67.1
200000,169000,Diesel,Individual,Manual,First Owner,5.0,2000,20.0,1399.0,68.1
500000,68000,Diesel,Individual,Manual,Second Owner,5.0,2250,19.01,1461.0,108.45
92000,100000,Petrol,Individual,Manual,Second Owner,5.0,4500,17.3,993.0,60.0
280000,140000,Diesel,Individual,Manual,Second Owner,5.0,2000,19.3,1248.0,73.9
180000,90000,Petrol,Individual,Manual,Second Owner,5.0,3500,18.9,1061.0,67.0
400000,40000,Petrol,Individual,Manual,First Owner,5.0,3600,18.15,1198.0,82.0
778000,70000,Diesel,Individual,Manual,Second Owner,7.0,1750,24.52,1248.0,88.5
500000,53000,Diesel,Individual,Manual,Second Owner,5.0,2750,23.0,1396.0,90.0
150000,80000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3
680000,100000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73
174000,100000,Diesel,Individual,Manual,Second Owner,5.0,2000,21.0,1461.0,64.1
950000,50000,Diesel,Individual,Manual,First Owner,5.0,1750,25.5,1498.0,98.6
525000,40000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0
600000,72000,Diesel,Individual,Manual,First Owner,5.0,1750,21.5,1248.0,88.8
500000,35000,Petrol,Individual,Manual,First Owner,5.0,3500,20.3,1199.0,83.81
575000,45000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1
275000,28000,Petrol,Individual,Manual,First Owner,5.0,3500,24.7,796.0,47.3
300000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,18.2,1248.0,73.8
220000,120000,Petrol,Individual,Manual,First Owner,5.0,3500,18.9,1061.0,67.0
254999,25000,Petrol,Individual,Manual,First Owner,8.0,2500,16.8,796.0,34.2
670000,70000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
150000,35000,Petrol,Individual,Manual,Second Owner,5.0,3000,14.0,796.0,35.0
730000,2388,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.83
650000,16200,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
330000,10000,CNG,Individual,Manual,Second Owner,4.0,3500,33.44,796.0,40.3
366000,15000,Petrol,Individual,Manual,First Owner,5.0,3500,23.95,998.0,67.1
1149000,5000,Petrol,Individual,Manual,First Owner,5.0,4850,17.0,1591.0,121.3
150000,42000,Petrol,Individual,Manual,First Owner,5.0,4000,20.63,1198.0,67.0
425000,60000,Diesel,Individual,Manual,Second Owner,7.0,2700,13.93,2179.0,138.03
150000,76000,Petrol,Individual,Manual,First Owner,4.0,2500,16.1,796.0,37.0
2100000,5000,Petrol,Individual,Automatic,First Owner,5.0,2500,16.0,1368.0,160.77
925000,28900,Petrol,Dealer,Manual,First Owner,5.0,4600,17.8,1497.0,117.3
425000,86300,Petrol,Dealer,Manual,First Owner,5.0,4800,16.8,1497.0,116.3
675000,23300,Petrol,Dealer,Automatic,First Owner,5.0,4000,18.5,1197.0,83.14
819999,32600,Diesel,Dealer,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
390000,10300,Petrol,Dealer,Manual,First Owner,5.0,3500,23.95,998.0,67.05
1500000,77000,Diesel,Dealer,Manual,First Owner,7.0,3400,12.55,2982.0,168.5
700000,99000,Diesel,Dealer,Manual,First Owner,7.0,3400,12.99,2494.0,100.0
1450000,27800,Diesel,Dealer,Automatic,Second Owner,5.0,4000,14.8,2143.0,120.7
425000,49800,Diesel,Dealer,Manual,First Owner,5.0,1750,24.7,1498.0,98.63
1090000,151000,Diesel,Dealer,Manual,First Owner,7.0,2500,13.5,2477.0,175.56
600000,54700,Diesel,Dealer,Manual,First Owner,5.0,1750,26.0,1498.0,98.6
850000,64000,Petrol,Dealer,Manual,First Owner,5.0,4400,20.65,1462.0,103.25
525000,63000,Diesel,Dealer,Manual,First Owner,5.0,1750,27.3,1498.0,98.6
1650000,127700,Diesel,Dealer,Automatic,Second Owner,7.0,3400,11.36,2755.0,171.5
950000,99000,Diesel,Dealer,Manual,First Owner,7.0,3600,12.99,2494.0,100.6
1750000,33900,Diesel,Dealer,Automatic,Second Owner,5.0,2500,17.68,1968.0,174.33
1590000,25000,Petrol,Dealer,Automatic,First Owner,5.0,4000,14.28,1798.0,138.03
1689999,50000,Diesel,Dealer,Automatic,First Owner,5.0,3000,18.53,1968.0,187.74
